VTV: Vanguard Value ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	35574453
Shares Outstanding: 346527000
Expense Ratio: 0.06%
Tracks This Index: MSCI US Prime Market Value Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VTV


Holding,Symbol,Weighting
United Continental Holdings Inc,UAL,0.1448%
Devon Energy Corp,DVN,0.1411%
Motorola Solutions Inc,MSI,0.1411%
Baxter International Inc,BAX,0.1382%
Best Buy Co Inc,BBY,0.138%
Principal Financial Group Inc,PFG,0.1379%
NetApp Inc,NTAP,0.1363%
Huntington Bancshares Inc,HBAN,0.1346%
Omnicom Group Inc,OMC,0.1341%
Symantec Corp,SYMC,0.133%
FirstEnergy Corp,FE,0.1329%
Twenty-First Century Fox Inc,FOX,0.1298%
Lincoln National Corp,LNC,0.1288%
WestRock Co,WRK,0.1288%
L3 Technologies Inc,LLL,0.1284%
Dover Corp,DOV,0.1253%
Andeavor,ANDV,0.1244%
CenturyLink Inc,CTL,0.1242%
Hess Corp,HES,0.124%
Dell Technologies Inc,DVMT,0.1223%
Seagate Technology PLC,STX,0.121%
Conagra Brands Inc,CAG,0.1187%
W W Grainger Inc,GWW,0.1182%
Apache Corp,APA,0.1178%
Republic Services Inc,RSG,0.1172%
Entergy Corp,ETR,0.117%
National Oilwell Varco Inc,NOV,0.1169%
XL Group Ltd,XL,0.1167%
American Water Works Company Inc,AWK,0.1167%
AmerisourceBergen Corp,ABC,0.1137%
Loews Corp,L,0.1133%
Ball Corp,BLL,0.1126%
Quest Diagnostics Inc,DGX,0.1112%
Textron Inc,TXT,0.1111%
Marathon Oil Corp,MRO,0.111%
Eastman Chemical Co,EMN,0.1105%
Host Hotels & Resorts Inc,HST,0.1102%
Ameren Corp,AEE,0.1096%
GGP Inc,GGP,0.1094%
J M Smucker Co,SJM,0.1087%
Celanese Corp,CE,0.1078%
Carnival Corp,CCL,0.1077%
Molson Coors Brewing Co,TAP,0.1063%
Invesco Ltd,IVZ,0.1039%
Baker Hughes A GE Co,BHGE,0.1034%
Lear Corp,LEA,0.1019%
CMS Energy Corp,CMS,0.1016%
Synopsys Inc,SNPS,0.1016%
Annaly Capital Management Inc,NLY,0.101%
Franklin Resources Inc,BEN,0.1006%
Genuine Parts Co,GPC,0.0999%
Stanley Black & Decker Inc,SWK,0.0964%
Liberty Interactive Corp,QRTEA,0.0949%
CenterPoint Energy Inc,CNP,0.0949%
Cincinnati Financial Corp,CINF,0.094%
Ally Financial Inc,ALLY,0.0939%
Nielsen Holdings PLC,NLSN,0.0928%
Viacom Inc,VIAB,0.0912%
Pentair plc,PNR,0.0911%
Whirlpool Corp,WHR,0.0911%
Arch Capital Group Ltd,ACGL,0.0896%
PVH Corp,PVH,0.0891%
Everest Re Group Ltd,RE,0.0891%
Darden Restaurants Inc,DRI,0.0872%
HCP Inc,HCP,0.0869%
Affiliated Managers Group Inc,AMG,0.0864%
Kohls Corp,KSS,0.0863%
Hologic Inc,HOLX,0.086%
CA Inc,CA,0.086%
Unum Group,UNM,0.086%
Fidelity National Financial Inc,FNF,0.0857%
BorgWarner Inc,BWA,0.0851%
Bunge Ltd,BG,0.0837%
Zions Bancorp,ZION,0.0836%
Perrigo Company PLC,PRGO,0.0832%
Arconic Inc,ARNC,0.0815%
Welltower Inc,WELL,0.0808%
Aramark,ARMK,0.0793%
Reinsurance Group of America Inc,RGA,0.0792%
Nasdaq Inc,NDAQ,0.0771%
Hasbro Inc,HAS,0.0771%
Alliant Energy Corp,LNT,0.0754%
Duke Realty Corp,DRE,0.0754%
DaVita Inc,DVA,0.075%
Juniper Networks Inc,JNPR,0.0749%
L Brands Inc,LB,0.0746%
Torchmark Corp,TMK,0.0741%
Avery Dennison Corp,AVY,0.0738%
Voya Financial Inc,VOYA,0.0736%
Liberty Broadband Corp,LBRDK,0.0732%
