VNQ: Vanguard Real Estate Index Fund
Inception Date: 2004-09-23
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	29165232
Shares Outstanding: 390745000
Expense Ratio: 0.12%
Tracks This Index: MSCI US REIT Index
ETFdb.com Category: Real Estate
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VNQ


Holding,Symbol,Weighting
Easterly Government Properties Inc,DEA,0.0977%
Universal Health Realty Income Trust,UHT,0.0919%
CBL & Associates Properties Inc,CBL,0.0916%
Uniti Group Inc,UNIT,0.0903%
Independence Realty Trust Inc,IRT,0.0896%
Hersha Hospitality Trust,HT,0.089%
OUTFRONT Media Inc,OUT,0.0853%
Pennsylvania Real Estate Investment Trust,PEI,0.082%
Northstar Realty Europe Corp,NRE,0.0811%
Saul Centers Inc,BFS,0.0807%
iStar Inc,STAR,0.0792%
Kennedy-Wilson Holdings Inc,KW,0.0784%
New Senior Investment Group Inc,SNR,0.078%
Ashford Hospitality Trust Inc,AHT,0.0755%
Investors Real Estate Trust,IRET,0.0755%
Armada Hoffler Properties Inc,AHH,0.072%
Front Yard Residential Corp,RESI,0.0609%
Gladstone Commercial Corp,GOOD,0.0581%
HFF Inc,HF,0.0571%
NexPoint Residential Trust Inc,NXRT,0.0528%
Whitestone REIT,WSR,0.0482%
New York REIT Inc,NYRT,0.043%
Cedar Realty Trust Inc,CDR,0.0411%
One Liberty Properties Inc,OLP,0.0409%
Preferred Apartment Communities Inc,APTS,0.0405%
Community Healthcare Trust Inc,CHCT,0.0403%
UMH Properties Inc,UMH,0.0354%
Re/Max Holdings Inc,RMAX,0.0334%
Ashford Hospitality Prime Inc,AHP,0.0297%
St. Joe Co,JOE,0.0294%
InfraREIT Inc,HIFR,0.028%
Five Point Holdings LLC,FPH,0.0267%
Marcus & Millichap Inc,MMI,0.0201%
CatchMark Timber Trust Inc,CTT,0.0198%
Tejon Ranch Co,TRC,0.0166%
RMR Group Inc,RMR,0.0134%
FRP Holdings Inc,FRPH,0.0128%
City Office REIT Inc,CIO,0.0124%
Cash Component,CASH,0.011%
Altisource Portfolio Solutions SA,ASPS,0.0103%
Medequities Realty Trust Inc,MRT,0.0095%
Farmland Partners Inc,FPI,0.0089%
Forestar Group Inc,FOR,0.0073%
