VFH: Vanguard Financials ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	7945728
Shares Outstanding: 114064000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Financials 25/50 Index
ETFdb.com Category: Financials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VFH


Holding,Symbol,Weighting
Navient Corp,NAVI,0.0852%
Evercore Inc,EVR,0.0845%
MB Financial Inc,MBFI,0.0814%
South State Corp,SSB,0.0799%
Blackstone Mortgage Trust Inc,BXMT,0.0793%
Fulton Financial Corp,FULT,0.0784%
Columbia Banking System Inc,COLB,0.078%
Cathay General Bancorp,CATY,0.0762%
UMB Financial Corp,UMBF,0.0757%
Washington Federal Inc,WAFD,0.0756%
MFA Financial Inc,MFA,0.0756%
Chimera Investment Corp,CIM,0.0753%
Federated Investors Inc,FII,0.0746%
Glacier Bancorp Inc,GBCI,0.0745%
Erie Indemnity Co,ERIE,0.0737%
BGC Partners Inc,BGCP,0.0721%
First Citizens BancShares Inc,FCNCA,0.072%
Green Dot Corp,GDOT,0.0693%
Two Harbors Investment Corp,TWO,0.0688%
Community Bank System Inc,CBU,0.0682%
Aspen Insurance Holdings Ltd,AHL,0.0661%
ProAssurance Corp,PRA,0.0652%
American Equity Investment Life Holding Co,AEL,0.0648%
BancorpSouth Bank,BXS,0.0642%
LendingTree Inc,TREE,0.0629%
First Midwest Bancorp Inc,FMBI,0.0622%
First Financial Bankshares Inc,FFIN,0.0619%
Enstar Group Ltd,ESGR,0.0607%
CVB Financial Corp,CVBF,0.0594%
Kemper Corp,KMPR,0.059%
United Community Banks Inc,UCBI,0.0584%
Old National Bancorp,ONB,0.0583%
BofI Holding Inc,BOFI,0.0583%
Hope Bancorp Inc,HOPE,0.0583%
RLI Corp,RLI,0.0582%
Great Western Bancorp Inc,GWB,0.058%
Credit Acceptance Corp,CACC,0.0571%
Onemain Holdings Inc,OMF,0.056%
International Bancshares Corp,IBOC,0.0545%
FCB Financial Holdings Inc,FCB,0.0542%
Union Bankshares Corp,UBSH,0.0537%
Financial Engines Inc,FNGN,0.0531%
Simmons First National Corp,SFNC,0.053%
Trustmark Corp,TRMK,0.0525%
Santander Consumer USA Holdings Inc,SC,0.0517%
Renasant Corp,RNST,0.0512%
Apollo Commercial Real Estate Finance Inc,ARI,0.0505%
First Merchants Corp,FRME,0.0503%
Argo Group International Holdings Ltd,AGII,0.05%
Ameris Bancorp,ABCB,0.0494%
Independent Bank Corp,INDB,0.0493%
Eagle Bancorp Inc,EGBN,0.0491%
Moelis & Co,MC,0.0486%
LegacyTexas Financial Group Inc,LTXB,0.0472%
Towne Bank,TOWN,0.0465%
WesBanco Inc,WSBC,0.0463%
Invesco Mortgage Capital Inc,IVR,0.0462%
BOK Financial Corp,BOKF,0.0453%
ServisFirst Bancshares Inc,SFBS,0.0452%
Hilltop Holdings Inc,HTH,0.0452%
CenterState Bank Corp,CSFL,0.0447%
Morningstar Inc,MORN,0.0445%
Horace Mann Educators Corp,HMN,0.0442%
PRA Group Inc,PRAA,0.0435%
Pacific Premier Bancorp Inc,PPBI,0.0426%
First Financial Bancorp,FFBC,0.0425%
Banner Corp,BANR,0.0417%
Berkshire Hills Bancorp Inc,BHLB,0.0416%
Capitol Federal Financial Inc,CFFN,0.0414%
Waddell & Reed Financial Inc,WDR,0.0412%
Walker & Dunlop Inc,WD,0.0409%
Artisan Partners Asset Management Inc,APAM,0.0407%
American National Insurance Co,ANAT,0.0403%
Virtu Financial Inc,VIRT,0.0402%
Provident Financial Services Inc,PFS,0.0401%
Northwest Bancshares Inc,NWBI,0.04%
First Hawaiian Inc,FHB,0.0389%
NBT Bancorp Inc,NBTB,0.0389%
WSFS Financial Corp,WSFS,0.0386%
Genworth Financial Inc,GNW,0.0371%
Westamerica Bancorp,WABC,0.0369%
Park National Corp,PRK,0.0358%
S&T Bancorp Inc,STBA,0.035%
Infinity Property and Casualty Corp,IPCC,0.0345%
First Commonwealth Financial Corp,FCF,0.0341%
Heartland Financial USA Inc,HTLF,0.0336%
Navigators Group Inc,NAVG,0.0332%
Sandy Spring Bancorp Inc,SASR,0.033%
Employers Holdings Inc,EIG,0.0328%
National General Holdings Corp,NGHC,0.0327%
Mercury General Corp,MCY,0.0318%
First Busey Corp,BUSE,0.0311%
Brookline Bancorp Inc,BRKL,0.0311%
Boston Private Financial Holdings Inc,BPFH,0.0311%
AmTrust Financial Services Inc,AFSI,0.0306%
Third Point Reinsurance Ltd,TPRE,0.0306%
Cannae Holdings Inc,CNNE,0.0296%
Redwood Trust Inc,RWT,0.0293%
Encore Capital Group Inc,ECPG,0.029%
PennyMac Mortgage Investment Trust,PMT,0.029%
First Bancorp,FBP,0.0289%
Houlihan Lokey Inc,HLI,0.0286%
Piper Jaffray Companies,PJC,0.0285%
LendingClub Corp,LC,0.0284%
Independent Bank Group Inc,IBTX,0.0282%
City Holding Co,CHCO,0.0282%
State Bank Financial Corp,STBZ,0.0276%
Enterprise Financial Services Corp,EFSC,0.0274%
First Interstate BancSystem Inc,FIBK,0.0273%
Nelnet Inc,NNI,0.0272%
Beneficial Bancorp Inc,BNCL,0.0271%
Ladder Capital Corp,LADR,0.0268%
Lakeland Financial Corp,LKFN,0.0268%
Safety Insurance Group Inc,SAFT,0.0266%
WisdomTree Investments Inc,WETF,0.0264%
Tompkins Financial Corp,TMP,0.0264%
Universal Insurance Holdings Inc,UVE,0.0261%
Heritage Financial Corp,HFWA,0.026%
CYS Investments Inc,CYS,0.0256%
