VO: Vanguard Mid-Cap Index ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	22275012
Shares Outstanding: 144371000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Mid Cap Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VO


Holding,Symbol,Weighting
Raymond James Financial Inc,RJF,0.2948%
Liberty Interactive Corp,QRTEA,0.2945%
Tiffany & Co,TIF,0.2916%
Akamai Technologies Inc,AKAM,0.2912%
Ally Financial Inc,ALLY,0.2907%
Nielsen Holdings PLC,NLSN,0.2898%
Kansas City Southern,KSU,0.2885%
Cincinnati Financial Corp,CINF,0.2877%
Vornado Realty Trust,VNO,0.2875%
Pentair plc,PNR,0.2846%
LKQ Corp,LKQ,0.2819%
Varian Medical Systems Inc,VAR,0.281%
Cabot Oil & Gas Corp,COG,0.2802%
Arch Capital Group Ltd,ACGL,0.2799%
AvalonBay Communities Inc,AVB,0.2798%
Aptiv PLC,APTV,0.279%
Whirlpool Corp,WHR,0.2783%
Carmax Inc,KMX,0.2777%
Cooper Companies Inc,COO,0.2775%
PVH Corp,PVH,0.2772%
Expeditors International of Washington Inc,EXPD,0.2767%
Tyson Foods Inc,TSN,0.2741%
Viacom Inc,VIAB,0.274%
Wyndham Worldwide Corp,WYN,0.2733%
Cheniere Energy Inc,LNG,0.2708%
HCP Inc,HCP,0.2698%
International Flavors & Fragrances Inc,IFF,0.2698%
Darden Restaurants Inc,DRI,0.2694%
Kohls Corp,KSS,0.2686%
J B Hunt Transport Services Inc,JBHT,0.2682%
Unum Group,UNM,0.2682%
CA Inc,CA,0.2679%
Norwegian Cruise Line Holdings Ltd,NCLH,0.2676%
Fidelity National Financial Inc,FNF,0.2666%
Albemarle Corp,ALB,0.2661%
Hologic Inc,HOLX,0.2659%
Cadence Design Systems Inc,CDNS,0.2654%
SEI Investments Co,SEIC,0.2648%
BorgWarner Inc,BWA,0.2646%
Perrigo Company PLC,PRGO,0.2634%
Everest Re Group Ltd,RE,0.2628%
Bunge Ltd,BG,0.2626%
Alliance Data Systems Corp,ADS,0.2614%
FMC Corp,FMC,0.2614%
Zions Bancorp,ZION,0.2613%
Gartner Inc,IT,0.2613%
Universal Health Services Inc,UHS,0.2594%
Affiliated Managers Group Inc,AMG,0.2582%
Extra Space Storage Inc,EXR,0.2566%
Henry Schein Inc,HSIC,0.256%
Verisign Inc,VRSN,0.2558%
Reinsurance Group of America Inc,RGA,0.2548%
Mid-America Apartment Communities Inc,MAA,0.2547%
Arconic Inc,ARNC,0.2543%
Advanced Micro Devices Inc,AMD,0.2514%
Aramark,ARMK,0.2478%
Nasdaq Inc,NDAQ,0.2432%
Hasbro Inc,HAS,0.2426%
NVR Inc,NVR,0.237%
UDR Inc,UDR,0.2364%
SL Green Realty Corp,SLG,0.2358%
Alliant Energy Corp,LNT,0.2356%
Avery Dennison Corp,AVY,0.2342%
Alkermes Plc,ALKS,0.2341%
Juniper Networks Inc,JNPR,0.2333%
Qorvo Inc,QRVO,0.2326%
Duke Realty Corp,DRE,0.2324%
L Brands Inc,LB,0.232%
DaVita Inc,DVA,0.2302%
Chipotle Mexican Grill Inc,CMG,0.23%
Liberty Broadband Corp,LBRDK,0.2298%
F5 Networks Inc,FFIV,0.2291%
Cimarex Energy Co,XEC,0.2291%
Torchmark Corp,TMK,0.2288%
Michael Kors Holdings Ltd,KORS,0.2279%
Fortune Brands Home & Security Inc,FBHS,0.2264%
Trimble Inc,TRMB,0.2252%
Voya Financial Inc,VOYA,0.2252%
Western Union Co,WU,0.2249%
United Continental Holdings Inc,UAL,0.2244%
Pinnacle West Capital Corp,PNW,0.224%
Owens Corning,OC,0.2236%
Regency Centers Corp,REG,0.2229%
CF Industries Holdings Inc,CF,0.2225%
Hormel Foods Corp,HRL,0.2219%
CDK Global Inc,CDK,0.2215%
Interpublic Group of Companies Inc,IPG,0.2207%
Marvell Technology Group Ltd,MRVL,0.2197%
Sensata Technologies Holding NV,ST,0.2197%
Jazz Pharmaceuticals PLC,JAZZ,0.219%
Autozone Inc,AZO,0.2189%
Gap Inc,GPS,0.2182%
Mosaic Co,MOS,0.2167%
Iron Mountain Inc,IRM,0.2163%
