VIS: Vanguard Industrial ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	3543397
Shares Outstanding: 25580000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Industrials 25/50 Index
ETFdb.com Category: Industrials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VIS


Holding,Symbol,Weighting
Hillenbrand Inc,HI,0.0969%
SkyWest Inc,SKYW,0.0967%
EnerSys,ENS,0.096%
Generac Holdings Inc,GNRC,0.0952%
Spirit Airlines Inc,SAVE,0.0949%
MSA Safety Inc,MSA,0.0943%
Applied Industrial Technologies Inc,AIT,0.0925%
Tetra Tech Inc,TTEK,0.0924%
Moog Inc,MOG.A,0.0911%
Clean Harbors Inc,CLH,0.09%
Korn/Ferry International,KFY,0.0894%
Insperity Inc,NSP,0.0883%
Welbilt Inc,WBT,0.0879%
GATX Corp,GATX,0.0836%
JELD-WEN Holding Inc,JELD,0.0827%
Gardner Denver Holdings Inc,GDI,0.0809%
Amerco,UHAL,0.0793%
UniFirst Corp,UNF,0.078%
Simpson Manufacturing Co Inc,SSD,0.0774%
Builders FirstSource Inc,BLDR,0.0769%
KBR Inc,KBR,0.0762%
Armstrong World Industries Inc,AWI,0.0753%
Mercury Systems Inc,MRCY,0.0734%
Allegiant Travel Co,ALGT,0.0733%
Granite Construction Inc,GVA,0.0724%
ABM Industries Inc,ABM,0.0723%
Pitney Bowes Inc,PBI,0.0723%
SPX FLOW Inc,FLOW,0.0718%
Watts Water Technologies Inc,WTS,0.0692%
Axon Enterprise Inc,AAXN,0.0689%
Exponent Inc,EXPO,0.0675%
TriNet Group Inc,TNET,0.0666%
Universal Forest Products Inc,UFPI,0.0665%
Mobile Mini Inc,MINI,0.0658%
Esterline Technologies Corp,ESL,0.0658%
Saia Inc,SAIA,0.0652%
Hawaiian Holdings Inc,HA,0.0637%
Herman Miller Inc,MLHR,0.063%
Albany International Corp,AIN,0.0623%
Triton International Ltd,TRTN,0.0619%
Werner Enterprises Inc,WERN,0.0604%
FTI Consulting Inc,FCN,0.0603%
Meritor Inc,MTOR,0.06%
Brady Corp,BRC,0.0599%
Aerojet Rocketdyne Holdings Inc,AJRD,0.0594%
Harsco Corp,HSC,0.0591%
Covanta Holding Corp,CVA,0.0589%
WageWorks Inc,WAGE,0.0589%
Chart Industries Inc,GTLS,0.0576%
Mueller Water Products Inc,MWA,0.0572%
Masonite International Corp,DOOR,0.0565%
Chicago Bridge & Iron Company NV,CBI,0.0559%
EnPro Industries Inc,NPO,0.0558%
Matthews International Corp,MATW,0.0558%
Cubic Corp,CUB,0.0552%
