VB: Vanguard Small Cap ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	21802537
Shares Outstanding: 148115000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Small Cap Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VB


Holding,Symbol,Weighting
Catalent Inc,CTLT,0.1528%
Encompass Health Corp,EHC,0.1523%
Nutanix Inc,NTNX,0.1521%
Old Republic International Corp,ORI,0.1517%
Tableau Software Inc,DATA,0.1511%
Vistra Energy Corp,VST,0.151%
Starwood Property Trust Inc,STWD,0.1506%
Bio Rad Laboratories Inc,BIO,0.1505%
Omega Healthcare Investors Inc,OHI,0.1505%
Vectren Corp,VVC,0.1503%
Booz Allen Hamilton Holding Corp,BAH,0.1502%
Brunswick Corp,BC,0.1499%
Healthcare Trust Of America Inc,HTA,0.1495%
DCT Industrial Trust Inc,DCT,0.149%
Quanta Services Inc,PWR,0.149%
Howard Hughes Corp,HHC,0.1488%
Packaging Corp of America,PKG,0.1482%
Paycom Software Inc,PAYC,0.1479%
MEDNAX Inc,MD,0.1476%
Validus Holdings Ltd,VR,0.1475%
Charles River Laboratories International Inc,CRL,0.1472%
Targa Resources Corp,TRGP,0.1472%
Olin Corp,OLN,0.1471%
Entegris Inc,ENTG,0.1469%
Grand Canyon Education Inc,LOPE,0.1459%
LPL Financial Holdings Inc,LPLA,0.1456%
Domino's Pizza Inc,DPZ,0.1444%
Carter's Inc,CRI,0.1438%
CubeSmart,CUBE,0.1435%
Avnet Inc,AVT,0.1433%
Blackbaud Inc,BLKB,0.1431%
DST Systems Inc,DST,0.143%
Hudson Pacific Properties Inc,HPP,0.1429%
Rollins Inc,ROL,0.1427%
Webster Financial Corp,WBS,0.1427%
American Campus Communities Inc,ACC,0.1426%
Insulet Corp,PODD,0.1424%
Littelfuse Inc,LFUS,0.1418%
Hanover Insurance Group Inc,THG,0.1413%
Newfield Exploration Co,NFX,0.141%
Teradata Corp,TDC,0.1403%
Skechers USA Inc,SKX,0.1401%
CyrusOne Inc,CONE,0.1398%
Genpact Ltd,G,0.1391%
RSP Permian Inc,RSPP,0.1391%
Forest City Realty Trust Inc,FCE.A,0.1389%
Trinity Industries Inc,TRN,0.1388%
Jabil Inc,JBL,0.1386%
Coherent Inc,COHR,0.1383%
Sterling Bancorp,STL,0.1383%
Sarepta Therapeutics Inc,SRPT,0.1379%
Arris International PLC,ARRS,0.1374%
Park Hotels & Resorts Inc,PK,0.1372%
Prosperity Bancshares Inc,PB,0.1355%
GCI Liberty Inc,GLIBA,0.1355%
Fair Isaac Corp,FICO,0.1355%
Nuance Communications Inc,NUAN,0.1349%
Umpqua Holdings Corp,UMPQ,0.1347%
American Homes 4 Rent,AMH,0.1345%
Sonoco Products Co,SON,0.1344%
Core Laboratories NV,CLB,0.134%
Crane Co,CR,0.134%
Wintrust Financial Corp,WTFC,0.134%
Pinnacle Financial Partners Inc,PNFP,0.1336%
Ingredion Inc,INGR,0.1334%
Envision Healthcare Corp,EVHC,0.1333%
Assurant Inc,AIZ,0.1333%
SLM Corp,SLM,0.1327%
MGIC Investment Corp,MTG,0.132%
Eagle Materials Inc,EXP,0.132%
Medical Properties Trust Inc,MPW,0.132%
Landstar System Inc,LSTR,0.1318%
Graphic Packaging Holding Co,GPK,0.1312%
Post Holdings Inc,POST,0.1307%
Zendesk Inc,ZEN,0.1306%
Interactive Brokers Group Inc,IBKR,0.1302%
Rayonier Inc,RYN,0.1297%
Chemed Corp,CHE,0.1293%
AXIS Capital Holdings Ltd,AXS,0.1289%
Transocean Ltd,RIG,0.1288%
Dun & Bradstreet Corp,DNB,0.1287%
Universal Display Corp,OLED,0.1283%
Genesee & Wyoming Inc,GWR,0.1281%
Valvoline Inc,VVV,0.1281%
United Therapeutics Corp,UTHR,0.1279%
EMCOR Group Inc,EME,0.1273%
Sabre Corp,SABR,0.1272%
Texas Capital Bancshares Inc,TCBI,0.1267%
Cognex Corp,CGNX,0.1256%
PRA Health Sciences Inc,PRAH,0.1256%
Credit Acceptance Corp,CACC,0.1248%
ITT Inc,ITT,0.1245%
Hancock Holding Co,HBHC,0.1242%
Monolithic Power Systems Inc,MPWR,0.1241%
Highwoods Properties Inc,HIW,0.1241%
Euronet Worldwide Inc,EEFT,0.1239%
Idacorp Inc,IDA,0.1238%
Six Flags Entertainment Corp,SIX,0.1236%
HollyFrontier Corp,HFC,0.1231%
F.N.B. Corp,FNB,0.1231%
STORE Capital Corp,STOR,0.123%
Murphy Oil Corp,MUR,0.1229%
2U Inc,TWOU,0.1227%
WGL Holdings Inc,WGL,0.1226%
AGCO Corp,AGCO,0.1223%
