VV: Vanguard Large Cap ETF
Inception Date: 2004-01-27
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	11821171
Shares Outstanding: 97437000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Large Cap Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VV


Holding,Symbol,Weighting
Marriott International Inc,MAR,0.1577%
Constellation Brands Inc,STZ,0.1562%
Air Products and Chemicals Inc,APD,0.1543%
Marathon Petroleum Corp,MPC,0.1536%
Progressive Corp,PGR,0.1527%
Eaton Corporation PLC,ETN,0.1527%
Delta Air Lines Inc,DAL,0.1525%
Ecolab Inc,ECL,0.1514%
State Street Corp,STT,0.1514%
Illumina Inc,ILMN,0.1506%
TE Connectivity Ltd,TEL,0.15%
Aflac Inc,AFL,0.1489%
Aon PLC,AON,0.1478%
Baxter International Inc,BAX,0.1472%
Anadarko Petroleum Corp,APC,0.1451%
Analog Devices Inc,ADI,0.1447%
LyondellBasell Industries NV,LYB,0.1443%
Sherwin-Williams Co,SHW,0.1439%
Lam Research Corp,LRCX,0.1433%
American Electric Power Company Inc,AEP,0.1431%
Allstate Corp,ALL,0.1429%
Estee Lauder Companies Inc,EL,0.1404%
Johnson Controls International PLC,JCI,0.1399%
Prologis Inc,PLD,0.1397%
SunTrust Banks Inc,STI,0.1377%
Fidelity National Information Services Inc,FIS,0.1374%
Equinix Inc,EQIX,0.1353%
Sempra Energy,SRE,0.1321%
Southwest Airlines Co,LUV,0.1318%
Pioneer Natural Resources Co,PXD,0.1278%
ServiceNow Inc,NOW,0.1276%
Fiserv Inc,FISV,0.1273%
McKesson Corp,MCK,0.1264%
DXC Technology Co,DXC,0.1263%
Ross Stores Inc,ROST,0.126%
Autodesk Inc,ADSK,0.125%
Kinder Morgan Inc,KMI,0.1238%
Public Storage,PSA,0.1235%
HCA Healthcare Inc,HCA,0.1231%
Edwards Lifesciences Corp,EW,0.123%
Sysco Corp,SYY,0.1219%
Hewlett Packard Enterprise Co,HPE,0.1217%
PPG Industries Inc,PPG,0.1217%
Las Vegas Sands Corp,LVS,0.1214%
Western Digital Corp,WDC,0.1213%
Roper Technologies Inc,ROP,0.1203%
Yum! Brands Inc,YUM,0.1183%
Amphenol Corp,APH,0.1149%
Red Hat Inc,RHT,0.1146%
Weyerhaeuser Co,WY,0.1135%
Carnival Corp,CCL,0.1128%
Moody's Corp,MCO,0.112%
General Mills Inc,GIS,0.1102%
Cummins Inc,CMI,0.1099%
Discover Financial Services,DFS,0.1085%
Regeneron Pharmaceuticals Inc,REGN,0.1082%
M&T Bank Corp,MTB,0.1076%
Public Service Enterprise Group Inc,PEG,0.1065%
Freeport-McMoRan Inc,FCX,0.1062%
Synchrony Financial,SYF,0.1062%
Dollar General Corp,DG,0.1061%
Worldpay Inc,WP,0.1058%
T. Rowe Price Group Inc,TROW,0.1057%
Fortive Corp,FTV,0.105%
Corning Inc,GLW,0.1048%
Alexion Pharmaceuticals Inc,ALXN,0.1045%
Consolidated Edison Inc,ED,0.1044%
Monster Beverage Corp,MNST,0.1035%
Archer Daniels Midland Co,ADM,0.1034%
Stanley Black & Decker Inc,SWK,0.1019%
ONEOK Inc,OKE,0.1013%
VF Corp,VFC,0.1%
Concho Resources Inc,CXO,0.0982%
Microchip Technology Inc,MCHP,0.0981%
Rockwell Automation Inc,ROK,0.0979%
Paccar Inc,PCAR,0.0975%
Xcel Energy Inc,XEL,0.0972%
PG&E Corp,PCG,0.0972%
Parker-Hannifin Corp,PH,0.0969%
American Airlines Group Inc,AAL,0.0962%
Dollar Tree Inc,DLTR,0.096%
AvalonBay Communities Inc,AVB,0.0958%
Aptiv PLC,APTV,0.0957%
Rockwell Collins Inc,COL,0.0951%
Fifth Third Bancorp,FITB,0.0951%
Equity Residential,EQR,0.0943%
Zimmer Biomet Holdings Inc,ZBH,0.0941%
Tyson Foods Inc,TSN,0.094%
Northern Trust Corp,NTRS,0.0938%
Agilent Technologies Inc,A,0.0934%
Ingersoll-Rand PLC,IR,0.0932%
Williams Companies Inc,WMB,0.0932%
Digital Realty Trust Inc,DLR,0.093%
Ameriprise Financial Inc,AMP,0.0927%
Regions Financial Corp,RF,0.0922%
Newmont Mining Corp,NEM,0.0914%
Dr Pepper Snapple Group Inc,DPS,0.0914%
International Paper Co,IP,0.0912%
Kroger Co,KR,0.0902%
Edison International,EIX,0.09%
KeyCorp,KEY,0.0898%
Citizens Financial Group Inc,CFG,0.0889%
O'Reilly Automotive Inc,ORLY,0.0887%
Mylan NV,MYL,0.0877%
Paychex Inc,PAYX,0.0873%
Royal Caribbean Cruises Ltd,RCL,0.0867%
Willis Towers Watson PLC,WLTW,0.0867%
Autozone Inc,AZO,0.0858%
Twitter Inc,TWTR,0.0857%
SBA Communications Corp,SBAC,0.0853%
Cardinal Health Inc,CAH,0.0852%
Harris Corp,HRS,0.0847%
Align Technology Inc,ALGN,0.0845%
Nucor Corp,NUE,0.0841%
Welltower Inc,WELL,0.0841%
WEC Energy Group Inc,WEC,0.0835%
PPL Corp,PPL,0.0831%
Skyworks Solutions Inc,SWKS,0.082%
Waste Connections Inc,WCN,0.0814%
Fleetcor Technologies Inc,FLT,0.0801%
Xilinx Inc,XLNX,0.0799%
Boston Properties Inc,BXP,0.0798%
Hartford Financial Services Group Inc,HIG,0.0796%
IHS Markit Ltd,INFO,0.0789%
Global Payments Inc,GPN,0.0786%
T-Mobile US Inc,TMUS,0.0785%
Eversource Energy,ES,0.0784%
DTE Energy Co,DTE,0.0783%
Cerner Corp,CERN,0.078%
Markel Corp,MKL,0.0776%
Workday Inc,WDAY,0.0774%
United Continental Holdings Inc,UAL,0.0772%
Kellogg Co,K,0.0763%
Ventas Inc,VTR,0.0761%
Ametek Inc,AME,0.0754%
Centene Corp,CNC,0.0752%
MGM Resorts International,MGM,0.075%
Devon Energy Corp,DVN,0.0749%
Principal Financial Group Inc,PFG,0.0739%
Motorola Solutions Inc,MSI,0.0737%
Maxim Integrated Products Inc,MXIM,0.0733%
CBS Corp,CBS,0.073%
KLA-Tencor Corp,KLAC,0.0729%
NetApp Inc,NTAP,0.0721%
Best Buy Co Inc,BBY,0.0719%
Huntington Bancshares Inc,HBAN,0.0713%
Clorox Co,CLX,0.0712%
Hilton Worldwide Holdings Inc,HLT,0.0711%
Laboratory Corporation of America Holdings,LH,0.0711%
Comerica Inc,CMA,0.071%
Omnicom Group Inc,OMC,0.0709%
TD Ameritrade Holding Corp,AMTD,0.0707%
IDEXX Laboratories Inc,IDXX,0.0705%
Lennar Corp,LEN,0.0704%
FirstEnergy Corp,FE,0.0704%
Symantec Corp,SYMC,0.0701%
Essex Property Trust Inc,ESS,0.0695%
Fastenal Co,FAST,0.0689%
Verisk Analytics Inc,VRSK,0.0688%
Lincoln National Corp,LNC,0.0687%
D.R. Horton Inc,DHI,0.0685%
Twenty-First Century Fox Inc,FOX,0.068%
L3 Technologies Inc,LLL,0.0679%
WestRock Co,WRK,0.0678%
Palo Alto Networks Inc,PANW,0.0673%
Waters Corp,WAT,0.0672%
IQVIA Holdings Inc,IQV,0.0672%
Incyte Corp,INCY,0.0671%
Dell Technologies Inc,DVMT,0.0665%
Dover Corp,DOV,0.0662%
Vulcan Materials Co,VMC,0.0662%
CenturyLink Inc,CTL,0.0659%
Wynn Resorts Ltd,WYNN,0.0652%
Noble Energy Inc,NBL,0.0652%
Hess Corp,HES,0.065%
Andeavor,ANDV,0.0645%
United Rentals Inc,URI,0.0645%
Tapestry Inc,TPR,0.0645%
W W Grainger Inc,GWW,0.0637%
First Republic Bank,FRC,0.0637%
Total System Services Inc,TSS,0.0633%
National Oilwell Varco Inc,NOV,0.0626%
E*TRADE Financial Corp,ETFC,0.0626%
Entergy Corp,ETR,0.0625%
Seagate Technology PLC,STX,0.0625%
Equifax Inc,EFX,0.0624%
AmerisourceBergen Corp,ABC,0.0623%
Apache Corp,APA,0.0623%
MSCI Inc,MSCI,0.0623%
Cintas Corp,CTAS,0.0622%
Conagra Brands Inc,CAG,0.0622%
Splunk Inc,SPLK,0.0621%
Mohawk Industries Inc,MHK,0.0621%
Republic Services Inc,RSG,0.0617%
XL Group Ltd,XL,0.0615%
Realty Income Corp,O,0.0615%
Hershey Co,HSY,0.0615%
American Water Works Company Inc,AWK,0.0614%
TransDigm Group Inc,TDG,0.0612%
Loews Corp,L,0.0611%
Biomarin Pharmaceutical Inc,BMRN,0.0611%
Resmed Inc,RMD,0.0611%
CoStar Group Inc,CSGP,0.0609%
CBRE Group Inc,CBRE,0.0609%
Quest Diagnostics Inc,DGX,0.0605%
Ball Corp,BLL,0.0601%
Textron Inc,TXT,0.0595%
Brown-Forman Corp,BF.B,0.059%
Marathon Oil Corp,MRO,0.0589%
Eastman Chemical Co,EMN,0.0589%
Host Hotels & Resorts Inc,HST,0.0587%
Xylem Inc,XYL,0.0586%
Celanese Corp,CE,0.0586%
ANSYS Inc,ANSS,0.0584%
Ameren Corp,AEE,0.0582%
GGP Inc,GGP,0.0577%
Square Inc,SQ,0.0574%
Mettler-Toledo International Inc,MTD,0.0573%
Expedia Inc,EXPE,0.0572%
McCormick & Company Inc,MKC,0.057%
EQT Corp,EQT,0.0568%
SVB Financial Group,SIVB,0.0565%
Cboe Global Markets Inc,CBOE,0.0564%
J M Smucker Co,SJM,0.056%
Molson Coors Brewing Co,TAP,0.0559%
Alnylam Pharmaceuticals Inc,ALNY,0.0558%
Masco Corp,MAS,0.0556%
Lear Corp,LEA,0.0554%
Martin Marietta Materials Inc,MLM,0.0554%
Baker Hughes A GE Co,BHGE,0.0551%
C.H. Robinson Worldwide Inc,CHRW,0.0551%
Invesco Ltd,IVZ,0.0548%
Newell Brands Inc,NWL,0.0546%
Ulta Beauty Inc,ULTA,0.0545%
Arthur J Gallagher & Co,AJG,0.0539%
CMS Energy Corp,CMS,0.0539%
Arista Networks Inc,ANET,0.0534%
Annaly Capital Management Inc,NLY,0.0533%
Franklin Resources Inc,BEN,0.0531%
Synopsys Inc,SNPS,0.0527%
Church & Dwight Co Inc,CHD,0.0526%
Citrix Systems Inc,CTXS,0.0524%
Genuine Parts Co,GPC,0.0524%
Alexandria Real Estate Equities Inc,ARE,0.0519%
Huntington Ingalls Industries Inc,HII,0.0513%
Dentsply Sirona Inc,XRAY,0.0512%
Take-Two Interactive Software Inc,TTWO,0.0504%
