VCR: Vanguard Consumer Discretionary ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	2675512
Shares Outstanding: 16732000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Consumer Discretionary 25/50 Index
ETFdb.com Category: Consumer Discretionary Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VCR


Holding,Symbol,Weighting
TopBuild Corp,BLD,0.0791%
Urban Outfitters Inc,URBN,0.0785%
Dick's Sporting Goods Inc,DKS,0.0783%
Wolverine World Wide Inc,WWW,0.0775%
Wayfair Inc,W,0.0775%
Adtalem Global Education Inc,ATGE,0.0775%
Tenneco Inc,TEN,0.077%
Taylor Morrison Home Corp,TMHC,0.0753%
Boyd Gaming Corp,BYD,0.0752%
Under Armour Inc,UA,0.0745%
Graham Holdings Co,GHC,0.0743%
AutoNation Inc,AN,0.0734%
LCI Industries,LCII,0.0721%
AMC Networks Inc,AMCX,0.0714%
Jack in the Box Inc,JACK,0.0705%
Liberty Latin America Ltd,LILAK,0.0699%
TRI Pointe Group Inc,TPH,0.0699%
Lions Gate Entertainment Corp,LGF.B,0.0697%
Lithia Motors Inc,LAD,0.069%
Scientific Games Corp,SGMS,0.0687%
Shutterfly Inc,SFLY,0.0686%
Sinclair Broadcast Group Inc,SBGI,0.0676%
Tupperware Brands Corp,TUP,0.0671%
Murphy Usa Inc,MUSA,0.0666%
KB Home,KBH,0.0662%
Tegna Inc,TGNA,0.0661%
Childrens Place Inc,PLCE,0.0652%
Steven Madden Ltd,SHOO,0.065%
Helen of Troy Ltd,HELE,0.0646%
Signet Jewelers Ltd,SIG,0.0644%
Michaels Companies Inc,MIK,0.0644%
Penn National Gaming Inc,PENN,0.0639%
Liberty Broadband Corp,LBRDA,0.0637%
Bloomin' Brands Inc,BLMN,0.0625%
Meredith Corp,MDP,0.0605%
Cooper-Standard Holdings Inc,CPS,0.0601%
Columbia Sportswear Co,COLM,0.0601%
Cheesecake Factory Inc,CAKE,0.059%
Liberty Expedia Holdings Inc,LEXEA,0.0589%
Tempur Sealy International Inc,TPX,0.0584%
Sally Beauty Holdings Inc,SBH,0.0578%
Red Rock Resorts Inc,RRR,0.0577%
Chegg Inc,CHGG,0.0565%
Dorman Products Inc,DORM,0.0555%
Weight Watchers International Inc,WTW,0.053%
Big Lots Inc,BIG,0.0528%
iRobot Corp,IRBT,0.0527%
Sotheby's,BID,0.0517%
Groupon Inc,GRPN,0.0517%
Meritage Homes Corp,MTH,0.0492%
Dave & Buster's Entertainment Inc,PLAY,0.0489%
Monro Inc,MNRO,0.0483%
Floor & Decor Holdings Inc,FND,0.0481%
Penske Automotive Group Inc,PAG,0.0472%
Pinnacle Entertainment Inc,PNK,0.0466%
Eldorado Resorts Inc,ERI,0.0461%
Caesars Entertainment Corp,CZR,0.0456%
Abercrombie & Fitch Co,ANF,0.0456%
Brinker International Inc,EAT,0.0452%
Callaway Golf Co,ELY,0.0443%
G-III Apparel Group Ltd,GIII,0.0435%
La Quinta Holdings Inc,LQ,0.0434%
Cavco Industries Inc,CVCO,0.0432%
Papa John's International Inc,PZZA,0.0431%
American Axle & Manufacturing Holdings Inc,AXL,0.0428%
Cooper Tire & Rubber Co,CTB,0.0419%
RH,RH,0.0416%
DSW Inc,DSW,0.0402%
MSG Networks Inc,MSGN,0.0398%
Caleres Inc,CAL,0.0396%
Wingstop Inc,WING,0.0396%
GameStop Corp,GME,0.0392%
La-Z-Boy Inc,LZB,0.0388%
Lions Gate Entertainment Corp,LGF.A,0.0388%
Sleep Number Corp,SNBR,0.0386%
World Wrestling Entertainment Inc,WWE,0.0384%
Installed Building Products Inc,IBP,0.0374%
LGI Homes Inc,LGIH,0.0365%
Guess? Inc,GES,0.0363%
Group 1 Automotive Inc,GPI,0.0359%
Fox Factory Holding Corp,FOXF,0.0354%
Gentherm Inc,THRM,0.0349%
Dillard's Inc,DDS,0.0345%
Asbury Automotive Group Inc,ABG,0.0342%
Entercom Communications Corp,ETM,0.034%
MDC Holdings Inc,MDC,0.0336%
Oxford Industries Inc,OXM,0.0331%
Chico's FAS Inc,CHS,0.0328%
Imax Corp,IMAX,0.032%
Winnebago Industries Inc,WGO,0.0319%
Scholastic Corp,SCHL,0.0317%
Dine Brands Global Inc,DIN,0.0317%
Modine Manufacturing Co,MOD,0.0317%
Crocs Inc,CROX,0.0306%
International Speedway Corp,ISCA,0.0306%
Gannett Co Inc,GCI,0.0302%
Office Depot Inc,ODP,0.0299%
Tailored Brands Inc,TLRD,0.0292%
Camping World Holdings Inc,CWH,0.0288%
Capella Education Co,CPLA,0.0287%
Denny's Corp,DENN,0.0287%
Belmond Ltd,BEL,0.0285%
Gray Television Inc,GTN,0.0284%
Sonic Corp,SONC,0.0281%
Strayer Education Inc,STRA,0.028%
SeaWorld Entertainment Inc,SEAS,0.0277%
Cash Component,CASH,0.0276%
Core-Mark Holding Company Inc,CORE,0.0275%
Vista Outdoor Inc,VSTO,0.0274%
Liberty Latin America Ltd,LILA,0.0272%
Standard Motor Products Inc,SMP,0.0266%
New Media Investment Group Inc,NEWM,0.0265%
J C Penney Company Inc,JCP,0.026%
Sturm Ruger & Company Inc,RGR,0.0252%
Career Education Corp,CECO,0.025%
M/I Homes Inc,MHO,0.0248%
Shake Shack Inc,SHAK,0.0246%
Petmed Express Inc,PETS,0.0242%
Nutrisystem Inc,NTRI,0.0238%
Liberty Media Corp,BATRK,0.023%
Acushnet Holdings Corp,GOLF,0.0224%
Red Robin Gourmet Burgers Inc,RRGB,0.0223%
William Lyon Homes,WLH,0.0222%
BJ's Restaurants Inc,BJRI,0.0221%
Houghton Mifflin Harcourt Co,HMHC,0.0217%
Liberty Tripadvisor Holdings Inc,LTRPA,0.0215%
Genesco Inc,GCO,0.0214%
Liberty Media Corp,FWONA,0.0214%
Overstock.com Inc,OSTK,0.0207%
Stoneridge Inc,SRI,0.0206%
Universal Electronics Inc,UEIC,0.0203%
AMC Entertainment Holdings Inc,AMC,0.0202%
Ruth's Hospitality Group Inc,RUTH,0.0202%
American Public Education Inc,APEI,0.0193%
Lumber Liquidators Holdings Inc,LL,0.019%
Conn's Inc,CONN,0.0181%
E. W. Scripps Co,SSP,0.0179%
Playa Hotels & Resorts NV,PLYA,0.0177%
Buckle Inc,BKE,0.0174%
Century Communities Inc,CCS,0.0169%
Ethan Allen Interiors Inc,ETH,0.0164%
Party City Holdco Inc,PRTY,0.0161%
Express Inc,EXPR,0.0157%
Marcus Corp,MCS,0.0157%
Loral Space & Communications Inc,LORL,0.0157%
Unifi Inc,UFI,0.0156%
Fossil Group Inc,FOSL,0.0155%
Tower International Inc,TOWR,0.0154%
American Outdoor Brands Corp,AOBC,0.0153%
K12 Inc,LRN,0.0148%
Beazer Homes USA Inc,BZH,0.0147%
Regis Corp,RGS,0.0147%
Movado Group Inc,MOV,0.0138%
MCBC Holdings Inc,MCFT,0.0138%
At Home Group Inc,HOME,0.0137%
GoPro Inc,GPRO,0.0137%
Monarch Casino & Resort Inc,MCRI,0.0136%
Fiesta Restaurant Group Inc,FRGI,0.0133%
MarineMax Inc,HZO,0.0133%
Hibbett Sports Inc,HIBB,0.013%
Sonic Automotive Inc,SAH,0.013%
Zumiez Inc,ZUMZ,0.0126%
Rent-A-Center Inc,RCII,0.0125%
Finish Line Inc,FINL,0.0121%
Chuy's Holdings Inc,CHUY,0.012%
National CineMedia Inc,NCMI,0.0118%
Motorcar Parts of America Inc,MPAA,0.0113%
MDC Partners Inc,MDCA,0.0112%
Carriage Services Inc,CSV,0.0112%
Carrols Restaurant Group Inc,TAST,0.011%
Nautilus Inc,NLS,0.011%
Biglari Holdings Inc,BH,0.0104%
Del Taco Restaurants Inc,TACO,0.0103%
America's CAR-MART Inc,CRMT,0.0101%
Haverty Furniture Companies Inc,HVT,0.01%
Culp Inc,CULP,0.01%
Winmark Corp,WINA,0.0098%
Duluth Holdings Inc,DLTH,0.0096%
Emerald Expositions Events Inc,EEX,0.0096%
Cato Corp,CATO,0.0093%
Superior Industries International Inc,SUP,0.0093%
Del Frisco's Restaurant Group Inc,DFRG,0.0088%
1-800-Flowers.Com Inc,FLWS,0.0086%
Potbelly Corp,PBPB,0.0085%
Zoe's Kitchen Inc,ZOES,0.0085%
Shoe Carnival Inc,SCVL,0.0082%
Entravision Communications Corp,EVC,0.0082%
Barnes & Noble Inc,BKS,0.0082%
Ascena Retail Group Inc,ASNA,0.0081%
GNC Holdings Inc,GNC,0.0077%
Lands End Inc,LE,0.0077%
Pico Holdings Inc,PICO,0.0073%
Bojangles Inc,BOJA,0.0072%
Flexsteel Industries Inc,FLXS,0.0071%
Liberty Media Corp,BATRA,0.007%
tronc Inc,TRNC,0.007%
Lindblad Expeditions Holdings Inc,LIND,0.0067%
Hovnanian Enterprises Inc,HOV,0.0065%
Barnes & Noble Education Inc,BNED,0.0064%
Pier 1 Imports Inc,PIR,0.0064%
Speedway Motorsports Inc,TRK,0.0063%
El Pollo Loco Holdings Inc,LOCO,0.0062%
Vera Bradley Inc,VRA,0.0057%
WideOpenWest Inc,WOW,0.0056%
Tile Shop Holdings Inc,TTS,0.0054%
Bridgepoint Education Inc,BPI,0.0053%
Fogo De Chao Inc,FOGO,0.0052%
Hemisphere Media Group Inc,HMTV,0.0052%
Tuesday Morning Corp,TUES,0.0052%
Habit Restaurants Inc,HABT,0.0051%
Francesca's Holdings Corp,FRAN,0.0049%
Green Brick Partners Inc,GRBK,0.0046%
Libbey Inc,LBY,0.0038%
Sportsmans Warehouse Holdings Inc,SPWH,0.0036%
Hamilton Beach Brands Holding Co,HBB,0.0035%
Noodles & Co,NDLS,0.0034%
Fred's Inc,FRED,0.0029%
Vitamin Shoppe Inc,VSI,0.0026%
Sequential Brands Group Inc,SQBG,0.0025%
Global Eagle Entertainment Inc,ENT,0.0025%
FTD Companies Inc,FTD,0.0021%
Sears Holdings Corp,SHLD,0.0017%
Iconix Brand Group Inc,ICON,0.0015%
